GRB	Redshift_crosscheck	T90	Gamma	Fluence	FluenceError	PhotonIndex	PhotonIndexError	NH	PeakFlux	PeakFluxError	log10Ta	log10TaErr	log10Fa	log10FaErr	alpha	alphaErr	beta	betaErr
GRB210210A	0.715	6.60	1.85188	9.8	0.8	1.53	0.58	1.327992	7.0	0.5	3.72413045	0.08857348	-10.1403778	0.05799791	1.5451851	0.10645081	NaN	NaN
GRB210222B	2.198	12.82	1.98	3.4	0.7	2.37	0.33	1.4	1.4	0.3	3.24642494	0.04927183	-10.4520599	0.04184217	1.37828029	0.005516005	1.5	0.55
GRB210411C	2.826	12.80	1.88408	12	1	1.6	0.40	1.14806	4.8	0.3	2.93128506	0.05901459	-9.72925773	0.05048963	1.16829405	0.03209979	0.56	0.22999999999999998
GRB210517A	2.486	3.06	1.71079	1.5	0.3	1.85	0.25	1.43775	1.5	0.2	3.057651	0.32132806	-10.8415194	0.25872455	1.21043545	0.08060357	0.71	0.21000000000000002
GRB210610A	3.54	13.62	1.83562	10	1	1.41	0.19	2.25621	2.4	0.4	3.15453451	1.28215864	-10.4044334	0.85146569	1.0816785	0.07850685	0.9299999999999999	0.17
GRB210619B	1.937	60.90	1.92306	950	10	1.41	0.02	6.82815	115.0	2.2	2.91049117	0.01099582	-8.55006175	0.01027813	1.12578835	0.00437126	0.8460000000000001	0.1005
GRB210722A	1.145	50.20	1.83712	25	2	1.62	0.14	0.347208	2.2	0.5	3.94283863	0.0605687	-14.483417911682453	0.26776062241322135	1.60481787	0.06764959	NaN	NaN
GRB210731A	1.2525	22.51	2.06317	22	2	-0.25	0.59	0.832807	1.6	0.3	4.80200435	0.11699725	-11.9404653	0.16085961	1.74153741	0.27863334	0.8600000000000001	0.33
GRB211024B	1.1137	603.5	2.08	68	3	1.63	0.09	0.97	0.9	0.2	3.43921565	0.01167528	-8.56429146	0.01916437	1.93633006	0.00965772	NaN	NaN
GRB220101A	4.618	173.36	1.62241	250	0	1.13	0.13	8.01125	7.3	0.3	3.04134881	0.02317526	-8.69262974	0.01431841	1.20052929	0.01255481	NaN	NaN
GRB220117A	4.961	49.81	1.78537	16	2	1.84	0.18	9.89303	1.9	0.4	3.43803362	0.04500955	-10.1070569	0.05084186	1.68612083	0.06200239	NaN	NaN
GRB220521A	5.57	13.55	2.02179	8.1	0.8	1.97	0.18	7.14942	4.7	0.4	3.30131796	0.13206168	-10.6276115	0.16334814	1.71067512	0.12291833	Nan	Nan
GRB220611A	2.3608	57.00	1.90103	6.7	1.3	1.87	0.29	0.2659130107187	NaN	NaN	1.12971557	0.81046481	-12.4941008	0.22640221	2.26249671	0.50304248	0.32000000000000006	0.35
GRB221110A	4.06	8.98	1.88143	5.1	0.5	1.41	0.16	8.36907	1.1	0.2	2.20438137	0.68618385	-9.52540051	0.67651915	1.02202171	0.03483546	1.2000000000000002	0.45
GRB221226B	2.694	3.44	1.59023	5.4	0.5	1.16	0.13	13.5415	2.6	0.3	0.47461698	0.1469718	-7.35134395	0.11871169	1.32089449	0.04333399	0.8	0.4
GRB230116D	3.81	41.00	1.76412	8.12	1.2	1.38	0.22	1.44586e-09	0.6	0.2	3.79761	0.13824000000000014	-11.1278	0.10139999999999993	1.57289	0.23490999999999995	0.8	0.295
GRB230325A	1.664	38.05	2.0855	13	2	1.82	0.18	16.9505	3.3	0.4	3.7823081	0.20042492	-10.9066853	0.1875455	0.931411844	0.05714513	1	0.44999999999999996
GRB230328B	0.09	19.23	1.89331	43	2	1.22	0.29	1.398957	8.4	0.5	3.66388	0.03230999999999984	-10.1038	0.026699999999999946	1.20938	0.024209999999999843	0.8999999999999999	0.55
GRB230414B	3.568	25.98	2.02038	4.7	1.0	1.6	0.30	4.92316	0.6	0.2	4.8792574	0.069549	-11.9505263	0.11074106	2.06160972	0.21988187	NaN	NaN
GRB230506C	3.7	31.00	2.08995	17	2	1.89	0.17	0.914635	2.4	0.5	4.25859	0.1184099999999999	-11.4531	0.10230000000000139	1.14181	0.11298999999999992	0.8999999999999999	0.55
GRB230818A	2.42	9.82	2.00403	19	1	1.36	0.10	2.05956	6.7	0.5	3.9564	0.12793999999999972	-11.0883	0.2043999999999997	1.39195	0.19714999999999994	NaN	NaN
GRB231117A	0.257	0.67	1.809041907	23	1	1.55	0.04	0.6139524	28.9	0.7	3.78095	0.013809999999999878	-6.90879	0.054840000000000444	0.683779	0.024922	NaN	NaN
GRB231118A	0.8304	37.63	1.512685845	37	2	1.4	0.07	8.909307511	9.7	0.5	2.20746	0.13948000000000027	-8.78983	0.12101999999999968	1.00111	0.04144599999999998	0.3999999999999999	0.14
